"lemma","poscode","surface"
"lx 570","3","lx 570"
"m class","3","m class"
"magnum","3","magnum"
"malibu","3","malibu"
"mariner","3","mariner"
"marquis","3","marquis"
"matrix","3","matrix"
"maxima","3","maxima"
"mazda 5","3","mazda 5"
"mazda 6","3","mazda 6"
"mazda3","3","mazda3"
"mdx","3","mdx"
"medium - cbe","3","medium - cbe"
"medium cbe","3","medium cbe"
"miata","3","miata"
"milan","3","milan"
"mirage","3","mirage"
"mkz","3","mkz"
"ml class","3","ml class"
"model s","3","model s"
"montana","3","montana"
"monte carlo","3","monte carlo"
"monterey","3","monterey"
"montero","3","montero"
"mountaineer","3","mountaineer"
"murano","3","murano"
"mustang ii","3","mustang ii"
"mustang","3","mustang"
"mx-5","3","mx-5"
"mystique","3","mystique"
"navigator","3","navigator"
"neon","3","neon"
"new beetle","3","new beetle"
"ninety-eight","3","ninety-eight"
"nitro","3","nitro"
"oasis","3","oasis"
"odyssey","3","odyssey"
"optima","3","optima"
"other make","3","other make"
"outback","3","outback"
"outlook","3","outlook"
"pacifica","3","pacifica"
"parisienne","3","parisienne"
"passat","3","passat"
"pathfinder armada","3","pathfinder armada"
"pathfinder","3","pathfinder"
"patriot","3","patriot"
"pilot","3","pilot"
"prius","3","prius"
"protege","3","protege"
"pt cruiser","3","pt cruiser"
"q50","3","q50"
"quest","3","quest"
"qx56","3","qx56"
"rabbit","3","rabbit"
"raider","3","raider"
"ram","3","ram"
"ranger","3","ranger"
"rav-4","3","rav-4"
"rendezvous","3","rendezvous"
"rio 5","3","rio 5"
"rio","3","rio"
"rodeo","3","rodeo"
"rogue","3","rogue"
"rondo","3","rondo"
"r-series","3","r-series"
"rx300","3","rx300"
"rx330h","3","rx330h"
"rx350","3","rx350"
"rx350h","3","rx350h"
"rx400h","3","rx400h"
"rx-8","3","rx-8"
"s class","3","s class"
"s-10 blazer","3","s-10 blazer"
"s15","3","s15"
"sable","3","sable"
"safari","3","safari"
"santa fe","3","santa fe"
"sc 430","3","sc 430"
"scion tc","3","scion tc"
"scion xb","3","scion xb"
"scion xd","3","scion xd"
"sebring","3","sebring"
"sedona","3","sedona"
"sentra","3","sentra"
"sephia","3","sephia"
"sequoia","3","sequoia"
"sienna","3","sienna"
"silhouette","3","silhouette"
"sl","3","sl"
"solara","3","solara"
"sonata","3","sonata"
"sonic","3","sonic"
"sonoma","3","sonoma"
"sorento","3","sorento"
"soul","3","soul"
"spectra","3","spectra"
"sport trac","3","sport trac"
"sprinter","3","sprinter"
"srx","3","srx"
"stratus","3","stratus"
"sts","3","sts"
"s-type","3","s-type"
"suburban","3","suburban"
"sunbird","3","sunbird"
"sunfire","3","sunfire"
"sx4","3","sx4"
"t-100","3","t-100"
"t15","3","t15"
"tacoma","3","tacoma"
"taurus x","3","taurus x"
"taurus","3","taurus"
"tercel","3","tercel"
"terrain","3","terrain"
"thunderbird","3","thunderbird"
"tiburon","3","tiburon"
"tiguan","3","tiguan"
"titan","3","titan"
"tl","3","tl"
"topaz","3","topaz"
"touareg","3","touareg"
"town and country","3","town and country"
"town car","3","town car"
"tracer","3","tracer"
"trailblazer","3","trailblazer"
"trans am","3","trans am"
"trans sport","3","trans sport"
"traverse","3","traverse"
"tribute","3","tribute"
"trooper ii","3","trooper ii"
"trooper","3","trooper"
"tsx","3","tsx"
"tucson","3","tucson"
"tundra","3","tundra"
"typhoon","3","typhoon"
"uplander","3","uplander"
"versa","3","versa"
"vibe","3","vibe"
"vision","3","vision"
"volt","3","volt"
"voyager","3","voyager"
"v-series","3","v-series"
"vue","3","vue"
"wildcat","3","wildcat"
"windstar","3","windstar"
"w-series","3","w-series"
"x5","3","x5"
"xb","3","xb"
"xc90","3","xc90"
"xterra","3","xterra"
"x-type","3","x-type"
"yaris","3","yaris"
"z4","3","z4"
"zephyr","3","zephyr"
